brand,sku,title,product_id,action,duplicate_of,candidate_source_url,url_confidence,image_url,notes
Akwa,LED0105,Akwa Dophin Clamp LED Mini Tank,15538248515657,NEEDS_IMAGE,,https://www.akwa.co.za/products/?s=clamp+led,LOW,,"Clamp/clip light - exact akwa page not pinned; search akwa.co.za or Dophin catalogue"
Akwa,LED1088R,Akwa Dophin LED-1088 RGB 35cm 12W,15538248548425,NEEDS_IMAGE,,https://www.akwa.co.za/product/dophin-led-1088-rgb-35cm-12w/,MED,,"URL inferred from LED-1090 slug pattern - verify it opens"
Akwa,LED1089B,Akwa Dophin LED-1089 BioLux 45cm 17W,15538248581193,NEEDS_IMAGE,,https://www.akwa.co.za/product/dophin-led-1089-biolux-45cm-17w/,LOW,,"'BioLux' slug uncertain - verify; may be listed differently"
Akwa,LED1089M,Akwa Dophin LED-1089 Marine 45cm 17W,15538248613961,NEEDS_IMAGE,,https://www.akwa.co.za/product/dophin-led-1089-marine-45cm-17w/,MED,,"URL inferred from LED-1090 pattern"
Akwa,LED1089R,Akwa Dophin LED-1089 RGB 45cm 17W,15538248646729,NEEDS_IMAGE,,https://www.akwa.co.za/product/dophin-led-1089-rgb-45cm-17w/,MED,,"URL inferred from LED-1090 pattern"
Akwa,LED1090M,Akwa Dophin LED-1090 Marine 60cm 20W,15538248679497,NEEDS_IMAGE,,https://www.akwa.co.za/product/dophin-led-1090-marine-60cm-20w/,MED,,"URL inferred from confirmed LED-1090 RGB page"
Akwa,LED1090R,Akwa Dophin LED-1090 RGB 60cm 20W,15538248712265,NEEDS_IMAGE,,https://www.akwa.co.za/product/dophin-led-1090-rgb-60cm-20w/,HIGH,,"Confirmed by search result title"
Akwa,FG0300,Akwa Fullgain Flat LED 10W 30cm,15538248745033,NEEDS_IMAGE,,https://www.akwa.co.za/product/fullgain-flat-led-10w-30cm/,MED,,"URL inferred from confirmed 14W/45cm page"
Akwa,FG0301,Akwa Fullgain Flat LED 14W 45cm,15538248777801,NEEDS_IMAGE,,https://www.akwa.co.za/product/fullgain-flat-led-14w-45cm/,HIGH,,"Confirmed by search result title"
Akwa,FG0302,Akwa Fullgain Flat LED 18W 60cm,15538248810569,NEEDS_IMAGE,,https://www.akwa.co.za/product/fullgain-flat-led-18w-60cm/,MED,,"URL inferred from 14W/45cm pattern"
Akwa,FG0303,Akwa Fullgain Flat LED 22W 75cm,15538248843337,NEEDS_IMAGE,,https://www.akwa.co.za/product/fullgain-flat-led-22w-75cm/,MED,,"URL inferred from 14W/45cm pattern"
Akwa,FG0304,Akwa Fullgain Flat LED 26W 90cm,15538248876105,NEEDS_IMAGE,,https://www.akwa.co.za/product/fullgain-flat-led-26w-90cm/,MED,,"URL inferred from 14W/45cm pattern"
Akwa,LED4200W,Akwa Ocean Max LED T4-200 White 4W,15538248908873,NEEDS_IMAGE,,https://www.akwa.co.za/product/led-t4-200/,HIGH,,"Confirmed page. White vs Blue/White likely share one page - pick correct image"
Akwa,LED4200BW,Akwa Ocean Max LED T4-200 Blue White 4W,15538248941641,NEEDS_IMAGE,,https://www.akwa.co.za/product/led-t4-200/,HIGH,,"Same page as LED4200W - choose blue/white image if shown"
Akwa,LED4300W,Akwa Ocean Max LED T4-300 White 6W,15538248974409,NEEDS_IMAGE,,https://www.akwa.co.za/product/led-t4-300/,MED,,"URL inferred from led-t4-200 pattern"
Akwa,LED4300BW,Akwa Ocean Max LED T4-300 Blue White 6W,15538249007177,NEEDS_IMAGE,,https://www.akwa.co.za/product/led-t4-300/,MED,,"Same page as LED4300W"
Akwa,LED4400W,Akwa Ocean Max LED T4-400 White 7.5W,15538249039945,NEEDS_IMAGE,,https://www.akwa.co.za/product/led-t4-400/,MED,,"URL inferred from led-t4-200 pattern"
Akwa,LED4400BW,Akwa Ocean Max LED T4-400 Blue White 7.5W,15538249072713,NEEDS_IMAGE,,https://www.akwa.co.za/product/led-t4-400/,MED,,"Same page as LED4400W"
Akwa,LED4500W,Akwa Ocean Max LED T4-500 White 8W,15538249105481,NEEDS_IMAGE,,https://www.akwa.co.za/product/led-t4-500/,MED,,"URL inferred from led-t4-200 pattern"
Akwa,LED4500BW,Akwa Ocean Max LED T4-500 Blue White 8W,15538249138249,NEEDS_IMAGE,,https://www.akwa.co.za/product/led-t4-500/,MED,,"Same page as LED4500W"
Akwa,LED4600W,Akwa Ocean Max LED T4-600 White 10W,15538249171017,NEEDS_IMAGE,,https://www.akwa.co.za/product/led-t4-600/,MED,,"URL inferred from led-t4-200 pattern"
Akwa,LED4600BW,Akwa Ocean Max LED T4-600 Blue White 10W,15538249203785,NEEDS_IMAGE,,https://www.akwa.co.za/product/led-t4-600/,MED,,"Same page as LED4600W"
Akwa,LED4800W,Akwa Ocean Max LED T4-800 White 13.6W,15538249236553,NEEDS_IMAGE,,https://www.akwa.co.za/product/led-t4-800/,MED,,"URL inferred from led-t4-200 pattern"
